Physical,Analytical,Fitness,Interview,Education,Result
15,25,6,94,1,0
66,69,23,63,22,0
99,67,66,42,86,1
0,30,49,67,21,0
77,60,46,75,27,0
1,30,79,84,63,0
60,14,2,56,31,0
65,13,49,10,81,0
78,5,34,34,18,0
92,19,22,57,56,0
32,42,40,79,0,0
87,76,90,52,32,0
31,26,0,23,95,0
85,20,47,84,88,0
22,74,4,77,53,0
97,69,42,52,48,1
81,99,21,59,61,0
48,49,20,62,1,0
79,48,14,12,62,0
77,53,42,12,65,0
90,97,96,63,83,1
49,71,92,91,38,1
70,56,14,56,36,0
61,53,55,21,0,0
4,32,35,95,19,0
14,93,51,31,30,0
98,58,11,80,85,0
62,6,20,84,65,0
65,42,70,18,41,0
46,21,13,81,96,0
23,91,7,24,23,0
84,14,87,87,22,0
87,99,87,66,100,1
89,47,35,16,95,0
62,52,53,74,90,1
90,59,40,51,87,1
45,87,0,14,42,0
29,72,64,1,5,0
60,61,91,39,27,0
19,43,17,34,85,0
25,60,30,78,81,0
18,45,99,75,69,0
57,66,99,19,20,0
47,15,100,67,89,0
29,40,74,47,51,0
49,94,98,84,44,1
47,15,78,69,78,0
95,84,21,60,61,0
91,4,23,9,84,0
19,30,89,99,21,0
60,13,60,98,21,0
30,33,81,45,20,0
7,25,28,6,81,0
18,60,80,42,82,0
67,9,24,42,13,0
89,77,51,1,86,0
16,69,67,43,46,0
11,92,45,42,61,0
22,60,16,72,56,0
25,79,3,85,68,0
24,62,32,93,56,0
73,58,80,46,62,1
23,49,76,86,8,0
66,72,50,27,19,0
93,41,51,63,23,0
20,31,22,58,78,0
62,77,78,36,100,1
50,72,76,5,34,0
16,61,94,26,70,0
19,39,37,30,24,0
76,95,28,1,86,0
18,48,72,39,31,0
98,45,40,29,58,0
11,50,16,62,86,0
9,52,28,82,50,0
80,90,83,100,35,0
91,38,13,64,22,0
80,5,29,83,11,0
31,73,19,67,28,0
53,8,68,61,70,0
93,29,25,62,63,0
18,28,93,68,47,0
42,10,31,12,43,0
89,16,1,6,20,0
68,75,2,7,73,0
1,63,74,35,87,0
24,7,68,80,4,0
59,98,8,71,56,0
67,45,16,50,69,0
22,64,18,17,47,0
1,11,67,10,12,0
64,42,35,80,31,0
19,1,50,76,21,0
14,60,48,21,7,0
66,28,36,82,45,0
35,57,11,90,47,0
83,94,75,26,25,0
38,31,43,78,22,0
30,96,32,26,76,0
24,56,13,88,66,0
70,31,56,2,54,0
5,95,46,4,64,0
92,86,43,16,95,0
59,53,16,87,4,0
76,26,27,19,0,0
38,82,67,14,25,0
25,17,92,22,67,0
39,25,61,90,59,0
90,17,9,40,86,0
82,23,5,15,32,0
13,55,78,1,71,0
58,70,99,8,0,0
14,94,16,28,96,0
94,28,60,72,5,0
3,40,60,12,69,0
76,18,58,33,13,0
92,40,32,22,94,0
2,75,6,34,32,0
51,30,76,92,60,0
37,71,22,81,80,0
30,45,98,72,37,0
84,66,55,38,44,1
85,81,66,22,64,0
56,27,8,2,11,0
18,85,100,90,49,0
65,23,67,33,79,0
80,81,69,92,10,0
25,2,19,35,44,0
32,58,5,25,83,0
51,31,0,15,29,0
38,32,97,1,27,0
90,6,2,65,11,0
62,73,97,35,78,0
45,19,11,37,58,0
96,45,21,81,4,0
10,60,58,44,7,0
93,22,9,0,78,0
14,16,51,59,54,0
19,43,49,6,29,0
34,37,41,38,59,0
85,81,75,58,0,0
40,58,97,47,81,1
52,16,85,81,53,0
56,43,48,96,13,0
97,25,64,83,28,0
54,23,86,15,68,0
5,14,81,5,45,0
81,67,33,72,54,0
65,62,56,70,18,0
6,54,4,63,99,0
8,29,17,46,1,0
7,20,79,59,38,0
56,4,99,70,88,0
73,37,30,97,29,0
61,36,65,33,75,0
41,35,52,68,55,0
2,90,91,37,9,0
23,92,100,46,60,0
41,81,51,9,66,0
29,97,4,12,49,0
32,41,21,26,69,0
40,70,88,26,72,0
43,71,55,47,0,0
83,53,41,24,88,0
88,100,84,11,42,0
95,79,57,37,57,1
21,64,26,11,39,0
9,98,89,58,67,0
47,54,0,6,13,0
59,81,86,3,65,0
78,14,71,89,32,0
88,49,93,8,47,0
9,50,80,68,39,0
10,29,89,85,23,0
18,81,19,71,54,0
2,20,26,36,46,0
20,28,60,26,98,0
43,32,51,94,32,0
33,6,72,31,38,0
77,97,2,25,67,0
45,83,19,22,33,0
29,35,42,5,82,0
43,40,57,16,83,0
40,53,48,100,58,1
85,94,99,16,25,0
29,53,95,37,34,0
59,46,92,31,84,0
87,83,93,95,32,0
63,81,7,30,6,0
32,20,54,66,43,0
43,34,21,46,31,0
55,40,32,55,13,0
98,92,74,74,28,0
45,86,11,90,52,0
7,24,61,22,85,0
61,35,27,33,94,0
74,14,76,60,75,0
74,18,92,98,12,0
53,47,35,1,86,0
64,39,21,53,10,0
38,24,56,25,31,0
4,59,93,60,11,0
4,63,91,52,77,0
16,68,12,73,0,0
6,29,60,16,36,0
44,62,75,62,76,1
10,0,22,88,43,0
29,81,5,36,74,0
36,59,34,90,71,0
94,22,87,15,55,0
5,3,39,22,88,0
74,12,31,16,17,0
21,86,65,88,16,0
98,42,34,30,48,0
82,28,9,30,55,0
7,23,36,51,16,0
87,11,20,59,8,0
61,7,20,65,74,0
95,62,38,28,15,0
23,43,30,96,77,0
3,84,34,89,33,0
69,18,30,13,89,0
34,71,15,14,20,0
60,21,44,67,39,0
99,39,6,90,86,0
4,62,95,92,82,0
40,37,7,61,15,0
80,47,42,100,11,0
5,69,77,46,50,0
64,4,18,3,75,0
79,98,23,92,3,0
60,94,15,52,44,0
25,60,82,20,17,0
66,8,15,54,67,0
21,50,36,98,16,0
100,18,65,17,46,0
56,88,84,5,36,0
36,25,64,86,5,0
76,4,23,44,48,0
72,93,13,76,4,0
59,58,19,30,85,0
0,96,24,48,38,0
57,67,4,23,72,0
45,86,14,96,8,0
10,62,14,25,52,0
30,91,76,98,65,0
5,13,51,40,99,0
87,82,32,86,47,0
10,3,75,17,97,0
62,40,24,80,89,0
7,87,99,54,39,0
94,70,17,78,52,0
81,74,42,29,79,0
8,77,59,30,69,0
91,80,82,96,21,0
27,12,52,40,89,0
93,40,30,51,91,0
58,25,20,45,61,0
30,72,18,97,83,0
62,55,25,88,30,0
19,88,86,42,79,0
21,84,63,16,92,0
67,43,37,95,59,1
20,88,38,63,93,0
2,62,20,94,69,0
47,69,97,59,8,0
36,31,34,9,72,0
7,28,66,18,28,0
54,16,31,21,21,0
8,96,96,58,23,0
91,56,2,33,38,0
36,81,45,11,32,0
19,57,58,23,88,0
84,42,29,92,55,0
41,6,16,61,0,0
64,16,7,69,61,0
18,85,70,57,99,0
0,43,67,70,40,0
80,87,1,73,52,0
38,17,60,0,71,0
55,50,15,69,39,0
95,74,19,30,9,0
81,50,69,11,31,0
78,11,44,11,49,0
62,71,45,7,72,0
50,35,24,36,21,0
65,99,41,35,62,0
70,96,9,13,38,0
54,48,31,68,63,0
91,63,56,0,86,0
95,26,84,4,69,0
45,34,79,34,69,0
87,73,56,12,41,0
26,58,98,28,98,0
71,25,89,49,13,0
60,63,87,44,42,1
34,74,76,98,7,0
32,29,7,78,89,0
95,35,46,30,79,0
53,2,27,23,16,0
39,24,51,68,80,0
20,83,66,5,74,0
57,36,31,8,70,0
92,99,30,20,90,0
93,8,88,96,11,0
51,18,2,36,77,0
78,97,84,59,14,0
15,40,94,63,100,0
4,58,13,95,59,0
0,100,1,32,39,0
60,82,26,78,98,0
45,87,79,31,99,0
54,28,32,83,29,0
32,51,65,31,16,0
77,82,86,93,36,1
85,23,31,66,33,0
8,16,65,55,64,0
50,40,25,33,43,0
16,59,39,10,92,0
53,46,9,37,50,0
20,53,66,28,48,0
58,59,24,15,52,0
25,83,5,79,97,0
91,88,100,24,67,0
55,92,84,5,50,0
88,11,16,12,64,0
73,4,79,23,57,0
19,40,30,52,19,0
31,91,51,63,15,0
1,2,56,20,47,0
39,19,79,70,3,0
80,23,24,87,40,0
89,75,20,6,1,0
29,69,0,89,57,0
72,40,72,94,39,1
13,58,59,9,100,0
21,9,90,65,94,0
71,34,23,89,44,0
62,67,27,62,100,0
96,4,28,96,70,0
67,10,83,90,34,0
64,22,38,18,44,0
94,47,78,25,79,0
33,5,19,64,68,0
81,79,37,27,98,0
63,67,11,83,16,0
92,7,27,95,81,0
84,46,26,69,75,0
30,99,72,63,10,0
96,18,95,60,66,0
3,64,32,61,95,0
29,86,16,45,55,0
91,68,60,53,97,1
32,99,10,11,24,0
37,11,98,39,82,0
10,27,92,61,21,0
18,27,34,36,95,0
67,25,11,33,100,0
18,13,76,46,39,0
7,40,56,51,67,0
18,86,14,60,82,0
57,90,84,65,96,1
49,64,90,69,33,0
98,48,5,83,11,0
100,80,47,95,70,1
3,55,37,16,42,0
63,77,95,95,86,1
56,11,9,1,13,0
90,56,17,63,89,0
85,3,73,41,61,0
57,22,37,33,38,0
77,24,31,19,48,0
9,78,73,32,88,0
38,61,83,8,82,0
26,33,95,38,97,0
61,37,92,95,46,1
26,100,65,73,18,0
80,49,69,2,16,0
98,18,21,67,95,0
90,30,60,94,42,0
80,9,29,69,59,0
38,2,9,72,6,0
43,0,95,7,74,0
58,6,35,75,31,0
86,6,72,42,53,0
45,65,9,30,13,0
33,26,63,16,29,0
52,45,71,14,2,0
72,73,17,58,51,0
47,10,13,95,44,0
59,80,0,3,74,0
13,46,13,4,35,0
85,6,36,48,81,0
46,41,24,21,70,0
49,72,30,100,48,0
1,96,83,93,17,0
71,70,94,70,91,1
80,3,53,1,48,0
20,54,76,65,66,0
85,40,32,14,34,0
1,83,82,6,82,0
11,78,72,96,59,0
68,55,100,11,25,0
18,1,30,43,18,0
62,80,90,49,88,1
95,15,38,51,91,0
19,76,41,65,40,0
36,14,12,27,38,0
48,86,21,48,94,0
57,30,85,62,96,0
99,69,38,84,38,1
42,44,37,32,23,0
98,35,19,18,19,0
34,2,73,9,42,0
75,4,33,43,89,0
36,53,45,60,54,1
29,74,89,90,83,0
31,89,57,4,77,0
59,33,81,37,23,0
93,94,99,84,82,1
65,64,3,3,30,0
9,74,27,63,92,0
65,90,49,15,50,0
36,31,56,64,96,0
47,14,36,20,73,0
23,65,95,20,52,0
99,22,52,95,43,0
49,33,30,54,26,0
76,43,97,77,39,1
15,37,81,98,21,0
100,44,57,68,41,1
43,26,29,47,94,0
53,18,67,16,84,0
71,39,95,23,93,0
68,6,4,68,71,0
13,17,42,77,40,0
34,33,74,83,19,0
34,72,98,29,87,0
71,57,14,12,61,0
65,6,85,95,43,0
94,20,84,61,48,0
77,29,53,91,43,0
58,77,62,55,80,1
9,34,95,90,92,0
69,20,9,84,72,0
58,74,67,62,8,0
37,72,65,75,74,1
54,54,94,18,56,0
10,45,32,29,17,0
92,53,36,70,21,0
38,82,10,16,71,0
49,9,47,56,55,0
23,9,85,72,72,0
65,88,73,12,32,0
55,96,97,8,44,0
5,85,66,4,20,0
57,27,64,59,96,0
59,64,63,28,3,0
72,42,13,1,83,0
43,38,76,76,12,0
30,5,80,18,35,0
100,34,57,59,2,0
81,72,15,21,89,0
52,70,33,0,21,0
22,83,31,0,82,0
68,79,10,19,67,0
31,82,7,86,39,0
47,73,31,24,51,0
44,99,40,54,85,1
96,64,83,61,13,0
39,9,37,49,18,0
100,86,42,31,63,0
35,43,22,40,61,0
37,2,95,53,81,0
45,92,40,61,23,0
77,53,66,52,78,1
2,70,5,19,6,0
86,87,34,62,75,0
89,39,61,83,32,0
59,32,89,92,95,0
7,21,15,66,32,0
34,30,10,58,94,0
94,1,2,81,21,0
7,69,1,91,60,0
78,98,86,78,81,1
66,40,77,86,89,1
35,86,79,55,94,0
24,38,20,8,8,0
87,56,70,2,47,0
17,45,18,24,2,0
5,72,56,66,32,0
74,92,56,20,35,0
98,100,100,5,46,0
72,27,78,76,62,0
51,71,94,58,87,1
80,2,95,29,8,0
67,35,97,44,76,0
24,1,34,41,31,0
28,51,88,77,81,0
6,86,39,68,90,0
12,42,37,37,98,0
23,3,30,99,67,0
94,89,20,55,25,0
81,77,62,82,15,0
29,36,50,55,66,0
81,45,3,93,80,0
49,46,20,45,81,0
75,93,30,100,28,0
50,64,6,20,89,0
66,84,20,38,88,0
33,26,52,70,92,0
94,91,48,46,98,1
63,26,94,24,95,0
66,50,52,83,30,0
87,12,76,5,63,0
57,32,88,37,33,0
66,21,99,27,21,0
87,48,34,76,58,0
72,24,37,33,75,0
7,44,98,98,54,0
53,74,2,51,49,0
99,68,89,95,2,0
41,22,93,35,3,0
57,82,30,56,94,0
28,85,84,88,59,0
12,51,81,36,15,0
4,26,48,24,76,0
68,99,64,56,71,1
40,26,48,69,81,0
85,1,62,52,8,0
68,89,6,70,24,0
59,54,97,32,52,0
95,53,95,2,35,0
52,83,22,17,14,0
43,6,77,9,77,0
22,45,20,2,53,0
82,41,55,2,55,0
48,44,12,99,2,0
5,77,95,50,7,0
3,21,14,67,53,0
14,99,45,72,81,0
10,50,83,65,24,0
25,99,38,49,22,0
95,23,6,44,100,0
30,18,96,2,14,0
33,47,82,94,49,0
40,8,76,60,76,0
23,83,6,5,38,0
77,13,39,30,51,0
40,98,31,18,37,0
22,40,51,5,46,0
21,81,62,27,39,0
46,19,33,19,71,0
9,97,72,93,39,0
44,52,57,83,52,1
74,73,69,17,50,0
36,87,32,28,13,0
1,39,44,41,18,0
68,94,85,80,81,1
1,63,28,32,16,0
88,71,3,54,19,0
29,35,13,57,65,0
17,46,13,71,77,0
58,91,41,25,22,0
30,96,35,93,19,0
69,75,46,90,51,1
44,72,72,44,81,1
89,12,54,91,100,0
34,91,41,20,17,0
78,86,66,71,55,1
94,9,91,95,32,0
46,26,60,4,29,0
75,6,53,22,10,0
74,54,62,21,40,0
33,98,68,68,97,0
44,63,76,62,12,0
3,88,93,62,17,0
97,73,97,37,44,1
17,81,16,7,30,0
86,31,20,51,34,0
43,4,30,51,55,0
91,4,20,76,7,0
3,4,81,17,8,0
40,53,41,92,77,1
55,87,49,63,91,1
49,84,22,22,58,0
78,6,12,5,1,0
39,5,44,72,45,0
63,79,16,56,70,0
11,26,81,88,51,0
60,10,94,88,77,0
5,62,1,43,60,0
67,23,43,58,51,0
41,36,16,30,21,0
96,24,93,50,56,0
8,98,96,95,98,0
46,1,65,73,13,0
25,19,38,58,53,0
33,12,9,85,26,0
36,40,30,71,84,0
76,96,80,40,31,0
6,66,61,69,73,0
82,65,57,9,60,0
47,15,28,93,72,0
43,93,1,17,54,0
51,77,3,93,60,0
94,9,91,81,75,0
69,50,65,26,72,0
54,48,11,51,47,0
93,80,39,92,63,1
49,34,51,56,15,0
55,17,30,18,98,0
85,2,37,86,46,0
70,100,64,71,48,1
5,65,82,49,30,0
95,22,19,55,99,0
2,86,59,82,46,0
18,41,14,45,72,0
51,25,52,68,56,0
30,16,30,77,97,0
94,32,7,85,91,0
26,15,89,85,57,0
90,6,63,15,79,0
43,51,78,25,77,0
43,61,99,92,96,1
72,34,41,1,23,0
65,88,81,4,59,0
67,90,12,87,86,0
54,63,7,38,28,0
24,45,59,40,60,0
66,56,42,1,52,0
52,28,68,97,92,0
68,55,62,99,75,1
47,86,61,22,52,0
61,45,32,73,51,0
20,44,17,11,80,0
77,10,67,37,69,0
55,82,4,34,68,0
71,92,61,87,37,1
72,14,60,99,44,0
68,58,92,28,31,0
57,47,82,39,17,0
52,51,75,46,30,0
44,81,47,8,40,0
49,90,84,61,73,1
58,17,17,92,63,0
4,12,58,59,32,0
6,18,72,36,50,0
30,82,51,39,36,0
37,1,27,49,56,0
30,58,62,80,62,0
50,84,62,22,51,0
17,51,9,28,74,0
99,31,58,78,24,0
40,19,72,75,66,0
15,57,24,51,12,0
93,87,3,82,99,0
69,70,81,76,21,0
67,19,12,34,5,0
90,20,67,80,49,0
46,70,83,87,10,0
51,30,63,65,99,0
42,92,95,9,51,0
60,92,8,78,90,0
45,68,66,6,46,0
52,52,47,20,63,0
84,37,48,21,58,0
17,92,64,86,48,0
72,41,63,51,48,1
17,81,3,83,5,0
26,80,14,60,93,0
52,66,64,17,92,0
50,64,94,26,30,0
32,35,49,30,49,0
79,93,73,71,55,1
98,15,90,64,80,0
22,30,56,78,61,0
14,52,13,64,18,0
89,6,9,30,84,0
14,24,64,64,74,0
53,38,95,82,25,0
14,85,17,96,27,0
100,38,58,39,24,0
97,61,73,89,5,0
89,7,33,71,96,0
76,71,97,63,46,1
11,83,61,67,11,0
45,77,29,93,39,0
84,23,25,40,17,0
61,28,78,38,73,0
8,81,40,81,92,0
87,67,90,15,25,0
34,5,62,26,95,0
88,52,76,58,29,0
64,50,54,64,65,1
57,2,4,60,69,0
63,31,81,22,88,0
75,57,6,13,58,0
73,20,92,50,14,0
92,71,23,26,90,0
49,79,55,78,17,0
42,90,44,76,66,1
49,43,32,58,4,0
50,93,99,51,3,0
49,96,31,85,29,0
33,79,71,60,56,0
71,12,11,82,45,0
0,12,54,84,58,0
92,87,79,56,7,0
5,34,18,72,88,0
2,18,34,73,94,0
78,82,15,70,58,0
52,5,54,54,8,0
97,43,28,99,35,0
10,70,46,64,18,0
16,98,0,11,95,0
31,25,7,27,52,0
74,57,93,66,40,1
80,87,100,56,0,0
26,75,26,40,76,0
23,38,69,34,89,0
33,21,18,69,3,0
40,1,35,64,19,0
67,65,0,64,70,0
63,81,93,80,1,0
83,89,20,73,60,0
66,92,85,62,40,1
96,87,65,87,52,1
51,92,18,68,94,0
31,32,65,47,47,0
97,99,26,86,21,0
57,91,3,44,79,0
5,59,63,57,93,0
9,17,54,1,79,0
98,88,97,53,94,1
51,93,93,5,68,0
34,57,53,96,22,0
88,72,27,23,96,0
4,30,69,25,91,0
35,62,93,8,68,0
84,36,48,12,94,0
10,72,29,89,16,0
100,27,1,22,39,0
33,4,77,98,16,0
99,65,48,28,78,0
74,59,16,95,33,0
39,13,89,76,49,0
97,70,49,24,38,0
80,66,90,10,94,0
81,78,15,2,23,0
70,10,45,70,100,0
21,63,23,72,91,0
29,70,22,56,10,0
82,41,58,17,68,0
40,38,66,13,65,0
88,84,92,64,56,1
2,14,60,1,89,0
54,78,38,38,53,1
66,85,59,95,74,1
32,24,71,98,84,0
9,59,96,66,87,0
67,26,86,81,7,0
81,37,2,37,26,0
81,11,2,37,63,0
0,26,22,62,77,0
32,7,91,83,81,0
92,91,41,29,86,0
29,24,9,81,71,0
52,49,87,69,12,0
88,8,4,33,90,0
82,27,29,54,66,0
20,7,35,66,77,0
24,29,14,71,31,0
65,44,23,67,6,0
74,52,31,41,37,0
51,68,89,72,35,0
12,87,59,30,28,0
85,63,56,53,30,0
8,89,94,58,73,0
87,50,34,94,50,0
70,53,6,96,92,0
5,79,8,52,57,0
37,59,14,84,83,0
63,48,90,23,0,0
26,77,89,98,95,0
43,53,81,40,89,1
23,55,67,78,5,0
89,51,6,81,95,0
2,8,8,26,85,0
100,15,68,64,35,0
99,72,17,78,54,0
99,88,40,81,83,1
39,39,56,89,69,1
47,94,59,77,51,1
35,40,2,75,30,0
